"gamma","lambda_0","theta"
17.4250970112874,14.447328383182,1.3232562747209
17.1220821370333,14.4336817349818,1.211203209219
17.0691966940585,15.1019780401463,1.31874024150678
17.3400688387411,15.7964252477414,1.48498375554838
17.3379167529747,14.5130086984085,1.34054317007248
18.6370271237844,15.7938226215387,1.57417897331952
17.156162705748,15.052894229838,1.37994422721239
16.1366500227983,15.155875926247,1.32779445137137
16.9668256433636,13.8642265640207,1.13873547074405
16.5900685033787,15.157239708382,1.34142334491022
17.5647027793716,14.7356931029193,1.35133106317799
16.1751604985901,15.1237616173182,1.35061189815301
16.7117375199665,14.7749572672892,1.2233577866518
16.7299978005305,14.6520534893236,1.2326598840579
16.7398709334387,14.3166171493009,1.19990767764454
17.2651775872206,14.4486884408374,1.30785247843655
17.8712090986596,14.8432398777539,1.38110643921461
17.4146451632744,14.0236893455768,1.17678527653473
16.682479041582,15.0963473598186,1.37587251638761
18.0862329297206,13.7929687443417,1.14388189094659
16.793337071202,14.2595705861997,1.27061938416933
17.4268367504872,14.9007004836013,1.33879175018532
17.233940206353,14.2083634953811,1.22074451953445
18.1379715306884,15.0604828719224,1.44252591992255
17.5590842352355,14.3126456202246,1.19469510522418
17.0795118099805,14.3221913307318,1.23820319984769
16.5871562137862,14.9995223603298,1.3077100601492
15.9737150615986,14.5901455895492,1.16357262293217
15.9362986168889,14.5570436303233,1.1480747267826
18.8822348621768,14.2232241888247,1.40815645972606
17.6540832126503,14.1106428587523,1.25225013272244
17.3710848010838,14.6836667709418,1.36579134317995
17.0587293074272,14.8155952125269,1.23935188593358
17.4497375415093,14.9277037268495,1.32206603981675
19.2321191803479,14.1949266878273,1.3850449226884
16.4474032499561,14.7824268743481,1.31286078070853
17.6759368197224,14.0070678668678,1.20408129389473
16.3937106101382,15.1938576672946,1.37091007118947
15.7380421846628,14.9735567725554,1.14471382969733
18.0497226192902,15.3466781189163,1.38601519741751
17.1655527175153,14.7655395308403,1.36275679204446
16.7930666522199,14.4636708171178,1.22146324522419
16.7325686545866,14.9284959936082,1.30840510926152
17.2454528449488,15.0085718930833,1.35924835892937
15.9991377749581,15.2242253391132,1.31091466285904
17.6560938472393,14.3326199736223,1.22948725225336
17.371376937718,14.6817468753325,1.26198629776004
